Ticker,Date,Open,High,Low,Close,Volume
BIC,9/6/2011,4.688477,4.688477,4.688477,4.688477,80800
BIC,9/7/2011,4.484788,4.484788,4.484788,4.484788,47270
BIC,9/8/2011,4.48463,4.688477,4.48463,4.688477,413500
BIC,9/9/2011,4.688927,4.688927,4.536027,4.586994,62590
BIC,9/12/2011,4.637396,4.637396,4.382595,4.382595,89140
BIC,9/13/2011,4.434042,4.485008,4.281144,4.434042,109590
BIC,9/14/2011,4.383256,4.383256,4.230352,4.230352,140150
BIC,9/15/2011,4.331787,4.331787,4.026014,4.1789,57160
BIC,9/16/2011,4.178843,4.178843,4.025959,4.025959,74480
BIC,9/19/2011,3.975473,4.128376,3.975473,4.077408,21550
BIC,9/20/2011,4.026164,4.077128,3.9752,3.9752,26460
BIC,9/21/2011,3.975153,3.975153,3.822263,3.822263,51050
BIC,9/22/2011,3.873272,3.9752,3.822308,3.9752,26700
BIC,9/23/2011,3.924236,3.9752,3.924236,3.9752,8100
BIC,9/26/2011,4.026116,4.026116,3.822263,3.822263,21060
BIC,9/27/2011,3.822045,3.873006,3.822045,3.873006,46590
BIC,9/28/2011,3.923966,4.025887,3.873006,3.873006,21670
BIC,9/29/2011,3.873439,3.873439,3.72054,3.771506,39000
BIC,9/30/2011,3.923966,3.923966,3.720124,3.873006,5540
BIC,10/3/2011,3.72054,3.771506,3.72054,3.771506,15850
BIC,10/4/2011,3.771462,3.771462,3.618565,3.618565,7510
BIC,10/5/2011,3.567186,3.720065,3.567186,3.720065,12650
BIC,10/6/2011,3.771506,3.771506,3.72054,3.771506,7550
BIC,10/7/2011,3.821985,3.821985,3.669106,3.720065,43730
BIC,10/10/2011,3.618359,3.669322,3.618359,3.669322,28560
BIC,10/11/2011,3.669322,3.669322,3.618359,3.669322,10000
BIC,10/12/2011,3.618281,3.618281,3.516357,3.516357,30620
BIC,10/13/2011,3.414923,3.56783,3.414923,3.56783,5230
BIC,10/14/2011,3.56783,3.669768,3.56783,3.56783,14180
BIC,10/17/2011,3.618565,3.66953,3.618565,3.618565,24100
BIC,10/18/2011,3.618281,3.618281,3.516357,3.516357,9620
BIC,10/19/2011,3.465634,3.516599,3.465634,3.465634,6440
BIC,10/20/2011,3.567774,3.567774,3.414869,3.414869,13980
BIC,10/21/2011,3.414923,3.56783,3.414923,3.56783,15910
BIC,10/24/2011,3.516599,3.618529,3.465634,3.465634,15760
BIC,10/25/2011,3.363413,3.465334,3.363413,3.363413,25240
BIC,10/26/2011,3.261434,3.312393,3.210474,3.210474,100650
BIC,10/27/2011,3.210474,3.312393,3.210474,3.210474,2300
BIC,10/28/2011,3.261926,3.312894,3.109024,3.261926,21500
BIC,10/31/2011,3.312628,3.312628,3.159737,3.159737,16180
BIC,11/1/2011,3.261594,3.261594,3.006782,3.006782,99100
BIC,11/2/2011,3.057528,3.057528,3.006569,3.057528,11880
BIC,11/3/2011,3.057528,3.057528,3.006569,3.057528,32640
BIC,11/4/2011,3.108487,3.108487,3.006569,3.057528,160940
BIC,11/7/2011,3.057744,3.057744,3.006782,3.006782,39240
BIC,11/8/2011,3.057744,3.057744,2.955819,3.006782,13900
BIC,11/9/2011,3.057528,3.057528,3.006569,3.057528,47990
BIC,11/10/2011,3.057528,3.057528,3.006569,3.057528,34520
BIC,11/11/2011,3.057528,3.108487,3.057528,3.057528,83010
BIC,11/14/2011,3.108773,3.159737,3.108773,3.159737,152620
BIC,11/15/2011,3.312666,3.312666,3.261702,3.312666,207370
BIC,11/16/2011,3.414668,3.465634,3.414668,3.465634,231820
BIC,11/17/2011,3.516861,3.56783,3.465892,3.56783,52960
BIC,11/18/2011,3.618799,3.618799,3.465892,3.56783,80140
BIC,11/21/2011,3.465838,3.567774,3.414869,3.414869,52710
BIC,11/22/2011,3.312452,3.414374,3.261491,3.363413,119220
BIC,11/23/2011,3.210997,3.414869,3.210997,3.414869,16140
BIC,11/24/2011,3.414374,3.414374,3.312452,3.363413,30170
BIC,11/25/2011,3.312393,3.312393,3.210474,3.210474,5660
BIC,11/28/2011,3.210959,3.261926,3.210959,3.261926,49120
BIC,11/29/2011,3.261702,3.312666,3.261702,3.312666,42500
BIC,11/30/2011,3.261702,3.312666,3.261702,3.312666,29610
BIC,12/1/2011,3.363631,3.363631,3.261702,3.312666,86140
BIC,12/2/2011,3.312666,3.363631,3.261702,3.312666,89200
BIC,12/5/2011,3.363703,3.465634,3.363703,3.465634,50970
BIC,12/6/2011,3.465634,3.465634,3.363703,3.465634,98110
BIC,12/7/2011,3.465892,3.56783,3.465892,3.56783,79940
BIC,12/8/2011,3.618565,3.618565,3.567599,3.618565,20180
BIC,12/9/2011,3.56783,3.56783,3.465892,3.56783,9180
BIC,12/12/2011,3.516861,3.56783,3.516861,3.56783,13000
BIC,12/13/2011,3.465396,3.516357,3.465396,3.516357,23500
BIC,12/14/2011,3.516806,3.516806,3.363901,3.414869,10630
BIC,12/15/2011,3.312452,3.363413,3.261491,3.363413,13080
BIC,12/16/2011,3.414869,3.414869,3.414869,3.414869,6130
BIC,12/19/2011,3.414869,3.414869,3.414869,3.414869,10110
BIC,12/20/2011,3.312666,3.414595,3.312666,3.312666,23110
BIC,12/21/2011,3.414595,3.414595,3.312666,3.312666,5210
BIC,12/22/2011,3.414829,3.414829,3.261926,3.261926,400
BIC,12/23/2011,3.210959,3.261926,3.210959,3.261926,32370
