Exchange,MSE,RMSE,MAPE,R2 Score
UPCOM,2.8273037603593236,1.6814588191089674,0.32934949022625726,0.9803656539608007
HNX,6.742043070292389,2.5965444479716475,0.21883985484546462,0.7873938042557627
HOSE,0.5977179448056164,0.7731222056089299,0.03288143204836769,0.9913666380856592
