Ticker,Date,Open,High,Low,Close,Volume
VDT,3/2/2011,4.394232,4.394232,4.394232,4.394232,100
VDT,3/7/2011,4.760418,4.760418,4.760418,4.760418,100
VDT,3/8/2011,4.394232,4.394232,4.394232,4.394232,100
VDT,3/11/2011,4.833655,4.833655,4.833655,4.833655,100
VDT,3/16/2011,5.163448,5.163448,5.163448,5.163448,100
VDT,3/17/2011,5.639726,5.639726,5.639726,5.639726,100
VDT,3/18/2011,6.152379,6.152379,6.152379,6.152379,400
VDT,3/30/2011,6.152379,6.152379,6.152379,6.152379,100
VDT,4/27/2011,5.566027,5.566027,5.566027,5.566027,200
VDT,5/18/2011,5.676116,5.676116,5.676116,5.676116,100
VDT,6/3/2011,5.126604,5.126604,5.126604,5.126604,100
VDT,6/14/2011,4.646357,4.646357,4.646357,4.646357,500
VDT,6/15/2011,4.20546,4.20546,4.20546,4.20546,100
VDT,6/16/2011,3.804864,3.804864,3.804864,3.804864,100
VDT,6/17/2011,3.444601,3.444601,3.444601,3.444601,200
VDT,6/20/2011,3.124111,3.124111,3.124111,3.124111,2000
VDT,6/21/2011,2.924073,2.924073,2.924073,2.924073,1000
VDT,6/22/2011,2.843948,2.843948,2.843948,2.843948,2000
VDT,6/23/2011,3.124025,3.124025,2.643406,2.643406,4100
VDT,6/29/2011,2.964085,2.964085,2.523478,2.523478,6100
VDT,6/30/2011,2.363263,2.683705,2.363263,2.683705,1100
VDT,7/1/2011,2.603595,2.603595,2.603595,2.603595,3000
VDT,7/4/2011,2.523276,2.80364,2.523276,2.80364,3100
VDT,7/15/2011,2.283123,2.283123,2.283123,2.283123,100
VDT,7/26/2011,2.403054,2.403054,2.403054,2.403054,2000
VDT,7/27/2011,2.483171,2.483171,2.483171,2.483171,200
VDT,8/3/2011,2.403054,2.403054,2.403054,2.403054,100
VDT,8/9/2011,2.1627,2.1627,2.1627,2.1627,100
VDT,8/10/2011,1.962646,1.962646,1.962646,1.962646,100
VDT,8/11/2011,1.802408,1.802408,1.802408,1.802408,100
VDT,8/22/2011,1.642181,1.642181,1.642181,1.642181,100
VDT,8/25/2011,1.481939,1.481939,1.481939,1.481939,100
VDT,8/26/2011,1.362013,1.362013,1.362013,1.362013,860
VDT,9/1/2011,1.241587,1.241587,1.241587,1.241587,100
VDT,9/9/2011,1.362013,1.362013,1.362013,1.362013,100
VDT,9/14/2011,1.602368,1.602368,1.602368,1.602368,100
VDT,9/16/2011,1.762605,1.762605,1.762605,1.762605,100
VDT,9/19/2011,1.602368,1.602368,1.602368,1.602368,100
VDT,9/20/2011,1.442131,1.442131,1.442131,1.442131,100
VDT,9/22/2011,1.562055,1.562055,1.562055,1.562055,100
VDT,9/23/2011,1.682486,1.682486,1.682486,1.682486,100
VDT,9/26/2011,1.522033,1.802408,1.522033,1.802408,300
VDT,9/27/2011,1.762605,1.762605,1.762605,1.762605,200
VDT,9/29/2011,1.68205,1.922342,1.68205,1.922342,200
VDT,10/3/2011,1.962646,1.962646,1.962646,1.962646,100
VDT,10/4/2011,1.802408,1.802408,1.802408,1.802408,100
VDT,10/5/2011,1.642214,1.962646,1.642214,1.962646,200
VDT,10/6/2011,1.642181,1.642181,1.642181,1.642181,100
VDT,10/7/2011,1.802408,1.802408,1.802408,1.802408,100
VDT,10/10/2011,1.842484,1.962646,1.842484,1.962646,400
VDT,10/11/2011,1.722301,1.722301,1.722301,1.722301,100
VDT,10/12/2011,1.882529,1.882529,1.882529,1.882529,100
VDT,10/13/2011,2.042769,2.042769,2.042769,2.042769,100
VDT,10/14/2011,2.242811,2.242811,2.242811,2.242811,100
VDT,10/17/2011,2.042769,2.042769,2.042769,2.042769,100
VDT,10/19/2011,1.842226,1.842226,1.842226,1.842226,100
VDT,10/20/2011,2.002455,2.002455,2.002455,2.002455,100
VDT,10/21/2011,2.203008,2.203008,2.203008,2.203008,100
VDT,10/25/2011,2.403054,2.403054,2.403054,2.403054,100
VDT,10/28/2011,2.162786,2.643406,2.162786,2.643406,200
VDT,10/31/2011,2.643406,2.643406,2.643406,2.643406,100
VDT,11/1/2011,2.883766,2.883766,2.883766,2.883766,100
VDT,11/3/2011,2.603595,2.603595,2.603595,2.603595,100
VDT,11/10/2011,2.363033,2.56329,2.363033,2.56329,200
VDT,11/16/2011,2.243074,2.363239,2.243074,2.363239,200
VDT,11/18/2011,2.403054,2.403054,2.403054,2.403054,8600
